name ts   x y z   roll pitch yaw  err delay
QR_4 1787064780.512416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5.5e-05
HR_6 1787064780.522416000 1.000000   6.08652e-13 0.225843 -2.79417e-12   2.66245e-08 -3.02133e-17 0.0001   3.7e-05
QR_4 1787064780.522416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.7e-05
HR_6 1787064780.532416000 1.000000   6.0893e-13 0.225849 -2.79523e-12   2.66346e-08 -3.02537e-17 0.0001   6e-05
QR_4 1787064780.532416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   6e-05
HR_6 1787064780.542416000 1.000000   6.09401e-13 0.225861 -2.79734e-12   2.66547e-08 -3.02951e-17 0.0001   2.1e-05
QR_4 1787064780.542416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.1e-05
HR_6 1787064780.552416000 1.000000   6.09762e-13 0.225871 -2.79911e-12   2.66715e-08 -3.02493e-17 0.0001   1.1e-05
QR_4 1787064780.552416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.1e-05
HR_6 1787064780.562416000 1.000000   6.10081e-13 0.225879 -2.80052e-12   2.6685e-08 -3.02282e-17 0.0001   2.6e-05
QR_4 1787064780.562416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.6e-05
HR_6 1787064780.572416000 1.000000   6.10512e-13 0.225889 -2.80228e-12   2.67018e-08 -3.01537e-17 0.0001   3.1e-05
QR_4 1787064780.572416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.1e-05
HR_6 1787064780.582416000 1.000000   6.10928e-13 0.225899 -2.80404e-12   2.67186e-08 -3.01406e-17 0.0001   2.8e-05
QR_4 1787064780.582416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.8e-05
HR_6 1787064780.592416000 1.000000   6.11164e-13 0.225905 -2.8051e-12   2.67287e-08 -3.01769e-17 0.0001   1.7e-05
QR_4 1787064780.592416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.7e-05
HR_6 1787064780.602416000 1.000000   6.11525e-13 0.225915 -2.80686e-12   2.67455e-08 -3.02349e-17 0.0001   2.7e-05
QR_4 1787064780.602416000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.7e-05
HR_6 1787064780.612417000 1.000000   6.12038e-13 0.225927 -2.80898e-12   2.67656e-08 -3.02469e-17 0.0001   2.8e-05
QR_4 1787064780.612417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.8e-05
HR_6 1787064780.622417000 1.000000   6.12413e-13 0.225937 -2.81074e-12   2.67824e-08 -3.02561e-17 0.0001   0.002
QR_4 1787064780.622417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.002
HR_6 1787064780.632417000 1.000000   6.12732e-13 0.225945 -2.81215e-12   2.67959e-08 -3.02874e-17 0.0001   7.5e-05
QR_4 1787064780.632417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   7.5e-05
HR_6 1787064780.642417000 1.000000   6.13162e-13 0.225955 -2.81392e-12   2.68127e-08 -3.03207e-17 0.0001   2.6e-05
QR_4 1787064780.642417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.6e-05
HR_6 1787064780.652417000 1.000000   6.13481e-13 0.225963 -2.81533e-12   2.68261e-08 -3.03505e-17 0.0001   3e-05
QR_4 1787064780.652417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3e-05
HR_6 1787064780.662417000 1.000000   6.13745e-13 0.22597 -2.81674e-12   2.68395e-08 -3.03609e-17 0.0001   0.000888
QR_4 1787064780.662417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000888
HR_6 1787064780.672417000 1.000000   6.14078e-13 0.225978 -2.81815e-12   2.6853e-08 -3.0431e-17 0.0001   5e-05
QR_4 1787064780.672417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5e-05
HR_6 1787064780.682417000 1.000000   6.14397e-13 0.225986 -2.81956e-12   2.68664e-08 -3.04024e-17 0.0001   0.000186
QR_4 1787064780.682417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000186
HR_6 1787064780.692417000 1.000000   6.1473e-13 0.225994 -2.82097e-12   2.68799e-08 -3.0415e-17 0.0001   3.4e-05
QR_4 1787064780.692417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.4e-05
HR_6 1787064780.702417000 1.000000   6.15147e-13 0.226004 -2.82273e-12   2.68967e-08 -3.03773e-17 0.0001   1.3e-05
QR_4 1787064780.702417000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.3e-05
HR_6 1787064780.712418000 1.000000   6.15522e-13 0.226014 -2.8245e-12   2.69135e-08 -3.0332e-17 0.0001   1e-05
QR_4 1787064780.712418000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1e-05
HR_6 1787064780.722418000 1.000000   6.15938e-13 0.226024 -2.82626e-12   2.69303e-08 -3.03344e-17 0.0001   5.4e-05
