# pom logged on Tue Aug 18 14:52:59 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787064796.282075000 0 1 1 1 1 1 0.0273139 -0.0352008 0.033081 -0.00674134 -0.00745942 0.0403272 0.00827752 0.033117 -0.00127531 -0.0122547 -0.0166689 0.033043 -0.382184 0.33276 -0.353543 1.37778e-08 1.37778e-08 1.26362e-08 1.28913e-07 1.28906e-07 1.40866e-07 1.30631e-06 1.30632e-06 1.10592e-06 1.30631e-06 1.30632e-06 1.10592e-06 0.0119249 0.0119249 0.0119156
1787064796.283098000 0 1 1 1 1 1 0.0273228 -0.0351693 0.0330778 -0.00675228 -0.00749242 0.040339 0.00807762 0.0327696 -0.0021144 -0.0117138 -0.0198154 0.0289355 -0.353065 0.227783 -0.426401 1.39668e-08 1.39668e-08 1.2795e-08 1.29549e-07 1.29542e-07 1.41502e-07 1.30659e-06 1.3066e-06 1.10371e-06 1.30659e-06 1.3066e-06 1.10371e-06 0.0119626 0.0119626 0.0119533
1787064796.284093000 0 1 1 1 1 1 0.0272739 -0.0351603 0.0331167 -0.00676861 -0.00758175 0.0404185 0.00756806 0.03214 -0.00278959 -0.011334 -0.022897 0.0256586 -0.31621 0.112174 -0.507354 1.24181e-08 1.24182e-08 1.14938e-08 1.11421e-07 1.11415e-07 1.23371e-07 1.17011e-06 1.17012e-06 9.90271e-07 1.17011e-06 1.17012e-06 9.90271e-07 0.00725726 0.00725727 0.00724845
1787064796.285143000 0 1 1 1 1 1 0.0272834 -0.0351282 0.0331135 -0.00675698 -0.00762602 0.040426 0.00776422 0.0317387 -0.00331082 -0.00657518 -0.02679 0.022112 -0.231399 0.0287286 -0.505505 1.25932e-08 1.25932e-08 1.16425e-08 1.22248e-07 1.22241e-07 1.34206e-07 1.21664e-06 1.21664e-06 1.03446e-06 1.21664e-06 1.21664e-06 1.03446e-06 0.0109023 0.0109023 0.0108936
1787064796.286080000 0 1 1 1 1 1 0.0272927 -0.0350988 0.033111 -0.00674976 -0.00765483 0.0404375 0.00819257 0.0316514 -0.00352319 -0.00381186 -0.0275428 0.0204869 -0.124603 0.00985848 -0.462215 1.27515e-08 1.27515e-08 1.17768e-08 1.24022e-07 1.24015e-07 1.3599e-07 1.22618e-06 1.22618e-06 1.04189e-06 1.22618e-06 1.22618e-06 1.04189e-06 0.0113796 0.0113796 0.0113709
1787064796.287069000 0 1 1 1 1 1 0.0273029 -0.0350672 0.0331085 -0.00674477 -0.00768246 0.0404527 0.00870406 0.0317395 -0.00363258 -0.00195545 -0.0276508 0.0196567 -0.0219959 0.0225959 -0.405944 1.29209e-08 1.2921e-08 1.19204e-08 1.25511e-07 1.25504e-07 1.3748e-07 1.23412e-06 1.23412e-06 1.04753e-06 1.23412e-06 1.23412e-06 1.04753e-06 0.0115919 0.0115919 0.0115832
1787064796.288063000 0 1 1 1 1 1 0.027313 -0.0350344 0.0331045 -0.00675385 -0.00769695 0.04048 0.00913835 0.0321747 -0.00409913 -0.00325983 -0.025138 0.0213124 0.0538097 0.0911756 -0.416415 1.30935e-08 1.30935e-08 1.20664e-08 1.25566e-07 1.25559e-07 1.37536e-07 1.23954e-06 1.23955e-06 1.05059e-06 1.23954e-06 1.23955e-06 1.05059e-06 0.0116333 0.0116333 0.0116245
1787064796.289078000 0 1 1 1 1 1 0.0273233 -0.0349998 0.0330991 -0.0067677 -0.00770769 0.0405117 0.00951658 0.0328518 -0.00482302 -0.00524251 -0.0223103 0.0233874 0.107814 0.188614 -0.466607 1.32722e-08 1.32722e-08 1.22175e-08 1.2611e-07 1.26103e-07 1.3808e-07 1.24677e-06 1.24677e-06 1.05539e-06 1.24677e-06 1.24677e-06 1.05539e-06 0.011748 0.011748 0.0117392
1787064796.290057000 0 1 1 1 1 1 0.0273324 -0.0349656 0.0330933 -0.00677339 -0.00773629 0.0405495 0.00954848 0.0336641 -0.00553783 -0.00513453 -0.0236004 0.02642 0.095547 0.293687 -0.509802 1.34468e-08 1.34468e-08 1.2365e-08 1.25553e-07 1.25545e-07 1.37522e-07 1.24883e-06 1.24884e-06 1.05515e-06 1.24883e-06 1.24884e-06 1.05515e-06 0.011613 0.011613 0.0116042
1787064796.292967000 0 1 1 1 1 1 0.0273591 -0.0348629 0.0330738 -0.00678814 -0.00781881 0.0406468 0.00946465 0.0353624 -0.00732748 -0.00463139 -0.0255966 0.0293746 0.0496714 0.400714 -0.548631 1.39838e-08 1.39838e-08 1.28182e-08 2.60773e-07 2.60758e-07 2.72743e-07 1.82325e-06 1.82326e-06 1.62262e-06 1.82325e-06 1.82326e-06 1.62262e-06 0.0279322 0.0279322 0.0279234
