name ts   x y z   roll pitch yaw  err delay
HR_6 1787068298.258150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000305
QR_4 1787068298.258150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000305
HR_6 1787068298.268150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.002284
QR_4 1787068298.268150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.002284
HR_6 1787068298.278150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000222
QR_4 1787068298.278150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000222
HR_6 1787068298.288150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000224
QR_4 1787068298.288150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000224
HR_6 1787068298.298150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.001183
QR_4 1787068298.298150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.001183
HR_6 1787068298.308151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   3.1e-05
QR_4 1787068298.308151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.1e-05
HR_6 1787068298.318151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   6.7e-05
QR_4 1787068298.318151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   6.7e-05
HR_6 1787068298.328151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   5.6e-05
QR_4 1787068298.328151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.6e-05
HR_6 1787068298.338151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   6.3e-05
QR_4 1787068298.338151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   6.3e-05
HR_6 1787068298.348151000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.002613
QR_4 1787068298.348151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.002613
