# pom logged on Tue Aug 18 15:51:37 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068297.738714000 0 1 1 1 1 1 0.677712 -0.746523 0.240017 -2.34599e-05 -1.03406e-05 0.991976 -0.000385475 0.00029486 0.000615602 0.000934695 -0.00154092 6.0689e-05 0.00248907 0.000559723 0.00368443 3.31645e-08 3.31645e-08 3.30366e-08 4.21403e-07 4.21403e-07 4.22685e-07 6.42204e-06 6.42204e-06 6.20358e-06 6.42204e-06 6.42204e-06 6.20358e-06 0.00993166 0.00993166 0.00989283
1787068297.739794000 0 1 1 1 1 1 0.677713 -0.746523 0.240014 -2.14481e-05 -1.06188e-05 0.991979 -0.000353442 0.000284783 0.000565648 0.000866574 -0.00141084 0.000340824 0.00302699 0.00118468 0.00331336 2.56516e-08 2.56516e-08 2.5577e-08 3.75235e-07 3.75235e-07 3.76568e-07 5.14748e-06 5.14748e-06 4.9648e-06 5.14748e-06 5.14748e-06 4.9648e-06 0.00653712 0.00653712 0.00650189
1787068297.742304000 0 1 1 1 1 1 0.677712 -0.746523 0.240015 -2.27648e-05 -1.31194e-05 0.991982 -0.000341988 0.000293564 0.000572261 0.000738591 -0.00123961 0.000642241 0.00355812 0.0019826 0.00307993 2.72579e-08 2.72579e-08 2.71644e-08 4.56876e-07 4.56876e-07 4.5821e-07 5.50451e-06 5.50451e-06 5.31125e-06 5.50451e-06 5.50451e-06 5.31125e-06 0.0212737 0.0212737 0.0212385
1787068297.742857000 0 1 1 1 1 1 0.677712 -0.746523 0.240016 -2.31152e-05 -1.38361e-05 0.991982 -0.000340021 0.000294661 0.000573964 0.000738591 -0.00123961 0.000642241 0.00355812 0.0019826 0.00307993 2.7622e-08 2.7622e-08 2.75238e-08 5.11774e-07 5.11774e-07 5.13107e-07 5.73441e-06 5.73441e-06 5.53877e-06 5.73441e-06 5.73441e-06 5.53877e-06 0.0266852 0.0266852 0.0266499
1787068297.743931000 0 1 1 1 1 1 0.677712 -0.746522 0.240016 -2.28443e-05 -1.60197e-05 0.991984 -0.000335283 0.000299652 0.00057615 0.000907996 -0.0011875 0.000793687 0.00367429 0.00234282 0.00293817 2.8336e-08 2.8336e-08 2.82286e-08 5.14321e-07 5.14321e-07 5.15656e-07 5.75073e-06 5.75073e-06 5.55038e-06 5.75073e-06 5.75073e-06 5.55038e-06 0.0220443 0.0220443 0.022009
1787068297.748167000 0 1 1 1 1 1 0.67771 -0.746521 0.240019 -2.49512e-05 -2.19912e-05 0.991988 -0.000319718 0.000309577 0.000588596 0.000907996 -0.0011875 0.000793687 0.00367429 0.00234282 0.00293817 3.1319e-08 3.1319e-08 3.11687e-08 1.17932e-06 1.17932e-06 1.18065e-06 8.50797e-06 8.50797e-06 8.28828e-06 8.50797e-06 8.50797e-06 8.28828e-06 0.059265 0.059265 0.0592297
1787068297.748745000 0 1 1 1 1 1 0.677713 -0.746522 0.240014 -2.04787e-05 -1.90527e-05 0.991989 -0.000289431 0.000293125 0.000538914 0.00086209 -0.000895654 0.000869769 0.00377154 0.00229693 0.00280404 2.41791e-08 2.41791e-08 2.40931e-08 1.16469e-06 1.16469e-06 1.16585e-06 8.00265e-06 8.00265e-06 7.82095e-06 8.00265e-06 8.00265e-06 7.82095e-06 0.0597102 0.0597102 0.0596785
1787068297.749792000 0 1 1 1 1 1 0.677712 -0.746522 0.240015 -2.35759e-05 -1.42969e-05 0.99198 -0.0002893 0.000311576 0.000534484 0.000259646 -0.000674492 3.48857e-05 0.00346357 0.00368791 0.00213418 2.47319e-08 2.47319e-08 2.46375e-08 8.23793e-07 8.23793e-07 8.24933e-07 6.79872e-06 6.79872e-06 6.61262e-06 6.79872e-06 6.79872e-06 6.61262e-06 0.0452211 0.0452211 0.0451887
1787068297.750826000 0 1 1 1 1 1 0.677712 -0.746522 0.240016 -2.40128e-05 -1.4903e-05 0.991981 -0.00028572 0.000315389 0.000536691 0.000259646 -0.000674492 3.48857e-05 0.00346357 0.00368791 0.00213418 2.53348e-08 2.53348e-08 2.52316e-08 9.84585e-07 9.84585e-07 9.85688e-07 7.58197e-06 7.58197e-06 7.39165e-06 7.58197e-06 7.58197e-06 7.39165e-06 0.0501259 0.0501259 0.0500936
1787068297.752119000 0 1 1 1 1 1 0.677712 -0.746521 0.240016 -2.82427e-05 -1.21373e-05 0.991979 -0.000291528 0.000320149 0.000537684 -0.000260414 -0.000795611 -0.000141224 0.00244973 0.00370117 0.0019606 2.60248e-08 2.60248e-08 2.59106e-08 3.7225e-07 3.7225e-07 3.73661e-07 4.54435e-06 4.54435e-06 4.349e-06 4.54435e-06 4.54435e-06 4.349e-06 0.0134648 0.0134648 0.0134321

1787068297.753725000 0 1 1 1 1 1 0.677711 -0.746521 0.240017 -2.9857e-05 -7.22708e-06 0.991979 -0.000298577 0.000323606 0.00053847 -0.000896736 -0.000432221 -3.27635e-05 0.00135175 0.00345525 0.00172413 2.69618e-08 2.69618e-08 2.68319e-08 3.79578e-07 3.79578e-07 3.8099e-07 4.51596e-06 4.51596e-06 4.31369e-06 4.51596e-06 4.51596e-06 4.31369e-06 0.0135482 0.0135482 0.0135155
1787068297.754729000 0 1 1 1 1 1 0.677711 -0.74652 0.240018 -3.22093e-05 -3.37861e-06 0.991975 -0.000300348 0.000324656 0.000537488 -0.00151951 -0.000333846 -0.000831605 0.000900323 0.00310575 0.00133257 2.75583e-08 2.75583e-08 2.74179e-08 3.5884e-07 3.5884e-07 3.60253e-07 4.41214e-06 4.41214e-06 4.20546e-06 4.41214e-06 4.41214e-06 4.20546e-06 0.00917346 0.00917346 0.00914072
1787068297.755707000 0 1 1 1 1 1 0.67771 -0.74652 0.240018 -3.32956e-05 -2.31321e-06 0.991974 -0.000299467 0.000327693 0.000538791 -0.00151951 -0.000333846 -0.000831605 0.000900323 0.00310575 0.00133257 2.815e-08 2.815e-08 2.79989e-08 3.79755e-07 3.79755e-07 3.81167e-07 4.52107e-06 4.52107e-06 4.31003e-06 4.52107e-06 4.52107e-06 4.31003e-06 0.0137685 0.0137685 0.0137358
1787068297.756720000 0 1 1 1 1 1 0.67771 -0.74652 0.240019 -3.48124e-05 -2.2658e-06 0.991973 -0.000306095 0.000333608 0.000543284 -0.00140367 -0.000490342 -0.000855926 -0.000250358 0.00352839 0.00181237 2.87698e-08 2.87698e-08 2.8607e-08 3.5878e-07 3.5878e-07 3.60193e-07 4.42527e-06 4.42527e-06 4.20966e-06 4.42527e-06 4.42527e-06 4.20966e-06 0.0103803 0.0103803 0.0103475
1787068297.757726000 0 1 1 1 1 1 0.67771 -0.746519 0.240019 -3.54806e-05 3.67328e-07 0.991971 -0.000310211 0.000337142 0.000548351 -0.00162939 -0.000222372 -0.00111322 -0.000857327 0.00352576 0.00232151 2.93948e-08 2.93948e-08 2.922e-08 3.57828e-07 3.57828e-07 3.59241e-07 4.41369e-06 4.41369e-06 4.19347e-06 4.41369e-06 4.41369e-06 4.19347e-06 0.00989236 0.00989236 0.00985961
1787068297.758711000 0 1 1 1 1 1 0.677709 -0.746519 0.24002 -3.59934e-05 3.40278e-06 0.991968 -0.000314504 0.0003401 0.00055411 -0.00187713 7.30782e-05 -0.00138671 -0.00142283 0.00344104 0.00289075 3.00157e-08 3.00157e-08 2.98284e-08 3.57434e-07 3.57434e-07 3.58847e-07 4.41275e-06 4.41275e-06 4.18794e-06 4.41275e-06 4.41275e-06 4.18794e-06 0.00968431 0.00968431 0.00965156
1787068297.759738000 0 1 1 1 1 1 0.677712 -0.746521 0.240016 -3.2848e-05 2.96597e-06 0.99197 -0.00028884 0.000319932 0.000512324 -0.00146069 -1.03146e-05 -0.00117477 -0.00131044 0.00294553 0.00322234 2.36463e-08 2.36463e-08 2.35316e-08 3.21708e-07 3.21708e-07 3.23221e-07 3.60686e-06 3.60686e-06 3.41868e-06 3.60686e-06 3.60686e-06 3.41868e-06 0.00624865 0.00624865 0.0062185
1787068297.762967000 0 1 1 1 1 1 0.677711 -0.74652 0.240018 -3.44711e-05 3.41634e-06 0.991968 -0.000289959 0.000324259 0.000524512 -0.000962741 -0.000165556 -0.000897537 -0.000926381 0.00229556 0.00344352 2.52916e-08 2.52916e-08 2.51444e-08 4.73189e-07 4.73189e-07 4.74702e-07 4.25542e-06 4.25542e-06 4.05377e-06 4.25542e-06 4.25542e-06 4.05377e-06 0.0278812 0.0278812 0.0278511
1787068297.763770000 0 1 1 1 1 1 0.67771 -0.746519 0.240018 -4.10069e-05 3.13761e-06 0.991966 -0.000294052 0.000324972 0.000519333 -0.0013391 -0.00097011 -0.00106447 -0.00136212 0.00215362 0.00242493 2.57118e-08 2.57118e-08 2.55557e-08 4.53482e-07 4.53482e-07 4.54997e-07 4.17735e-06 4.17735e-06 3.97226e-06 4.17735e-06 4.17735e-06 3.97226e-06 0.0214672 0.0214672 0.021437
1787068297.764900000 0 1 1 1 1 1 0.67771 -0.746519 0.240019 -4.27522e-05 3.80455e-06 0.991965 -0.000295591 0.000327406 0.000522073 -0.0013391 -0.00097011 -0.00106447 -0.00136212 0.00215362 0.00242493 2.63157e-08 2.63157e-08 2.61466e-08 5.2943e-07 5.2943e-07 5.30944e-07 4.5034e-06 4.5034e-06 4.29339e-06 4.5034e-06 4.5034e-06 4.29339e-06 0.0270874 0.0270874 0.0270571
1787068297.765758000 0 1 1 1 1 1 0.67771 -0.746519 0.240019 -4.44537e-05 8.88659e-06 0.991963 -0.000296714 0.000338026 0.000512316 -0.00186944 -0.000682577 -0.00128027 -0.00135618 0.00328826 0.000893793 2.6768e-08 2.6768e-08 2.65885e-08 3.36769e-07 3.36769e-07 3.38284e-07 3.77494e-06 3.77494e-06 3.56114e-06 3.77494e-06 3.77494e-06 3.56114e-06 0.0112072 0.0112072 0.0111769
