# pom logged on Tue Aug 18 15:52:23 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068343.673692000 0 1 1 1 1 1 0.837475 -0.868451 0.240013 2.67971e-05 4.03905e-05 0.944598 -0.000145008 0.000566458 0.000517981 -0.000124692 5.01005e-05 -0.000390401 0.00231653 0.00421855 -0.00202441 2.73235e-08 2.73235e-08 2.71888e-08 3.78867e-07 3.78867e-07 3.80202e-07 4.52493e-06 4.52493e-06 4.31697e-06 4.52493e-06 4.52493e-06 4.31697e-06 0.012253 0.012253 0.0122195
1787068343.675897000 0 1 1 1 1 1 0.837475 -0.868449 0.240014 2.63305e-05 4.17847e-05 0.944597 -0.000141302 0.000576835 0.000514286 -0.000293418 9.92275e-05 -0.000343806 0.00213451 0.00435806 -0.00192461 2.86707e-08 2.86707e-08 2.85115e-08 4.0883e-07 4.0883e-07 4.10165e-07 4.66394e-06 4.66394e-06 4.44615e-06 4.66394e-06 4.66394e-06 4.44615e-06 0.0177467 0.0177467 0.0177132
1787068343.676747000 0 1 1 1 1 1 0.837475 -0.868449 0.240015 2.53858e-05 3.89984e-05 0.944594 -0.000137188 0.000580338 0.000517473 3.19827e-05 -0.000314329 -0.000800496 0.00245721 0.00433011 -0.00124857 2.9201e-08 2.9201e-08 2.90316e-08 4.04758e-07 4.04758e-07 4.06093e-07 4.63575e-06 4.63575e-06 4.41409e-06 4.63575e-06 4.63575e-06 4.41409e-06 0.0169958 0.0169958 0.0169623
1787068343.677748000 0 1 1 1 1 1 0.837475 -0.868448 0.240015 2.9142e-05 3.42596e-05 0.9446 -0.000134973 0.000581145 0.000517167 0.00104268 -0.000216802 0.000246445 0.00242321 0.00384251 -0.00111783 2.98338e-08 2.98338e-08 2.96519e-08 3.89219e-07 3.89219e-07 3.90554e-07 4.57137e-06 4.57137e-06 4.34507e-06 4.57137e-06 4.57137e-06 4.34507e-06 0.0134529 0.0134529 0.0134193
1787068343.679359000 0 1 1 1 1 1 0.837475 -0.868447 0.240016 3.3657e-05 2.87059e-05 0.944606 -0.000131979 0.000582264 0.000515538 0.00190433 -9.81413e-05 0.00120208 0.00228922 0.00309627 -0.00109251 3.08714e-08 3.08714e-08 3.06681e-08 3.89138e-07 3.89138e-07 3.90472e-07 4.59935e-06 4.59935e-06 4.36546e-06 4.59935e-06 4.59935e-06 4.36546e-06 0.0146992 0.0146992 0.0146656
1787068343.680776000 0 1 1 1 1 1 0.837476 -0.86845 0.240013 3.18638e-05 2.41926e-05 0.944604 -0.000110372 0.000549264 0.000475296 0.00165803 -0.000225841 0.000527662 0.00336172 0.00354154 -0.00113161 2.44387e-08 2.44387e-08 2.43097e-08 3.5907e-07 3.5907e-07 3.60498e-07 3.80022e-06 3.80022e-06 3.60334e-06 3.80022e-06 3.80022e-06 3.60334e-06 0.0133642 0.0133642 0.0133334
1787068343.681762000 0 1 1 1 1 1 0.837475 -0.86845 0.240014 3.29086e-05 2.38512e-05 0.944603 -9.91148e-05 0.000554406 0.000474845 0.00152454 -7.02849e-05 0.000263489 0.00463788 0.00380839 -0.00102497 2.49456e-08 2.49456e-08 2.48065e-08 3.40948e-07 3.40948e-07 3.42383e-07 3.72969e-06 3.72969e-06 3.52867e-06 3.72969e-06 3.72969e-06 3.52867e-06 0.0106122 0.0106122 0.0105812
1787068343.682772000 0 1 1 1 1 1 0.837475 -0.868449 0.240014 3.41045e-05 2.31862e-05 0.944603 -8.9895e-05 0.00055854 0.000474537 0.00146635 5.58252e-05 0.000180024 0.00535748 0.00385425 -0.000909708 2.54726e-08 2.54726e-08 2.53225e-08 3.41243e-07 3.41243e-07 3.42679e-07 3.7256e-06 3.7256e-06 3.52028e-06 3.7256e-06 3.7256e-06 3.52028e-06 0.0103782 0.0103782 0.0103472
1787068343.683743000 0 1 1 1 1 1 0.837475 -0.868449 0.240015 3.46637e-05 2.08473e-05 0.9446 -8.36581e-05 0.000563646 0.000473826 0.00162723 -0.000139922 -0.00050223 0.00552798 0.00407886 -0.000881246 2.59864e-08 2.59864e-08 2.58253e-08 3.40667e-07 3.40667e-07 3.42103e-07 3.72502e-06 3.72502e-06 3.51551e-06 3.72502e-06 3.72502e-06 3.51551e-06 0.0101549 0.0101549 0.010124
1787068343.684732000 0 1 1 1 1 1 0.837475 -0.868448 0.240015 3.50736e-05 1.80011e-05 0.944596 -7.85692e-05 0.000569484 0.000472905 0.00181751 -0.000383103 -0.00124055 0.00546413 0.00438438 -0.000889658 2.65168e-08 2.65168e-08 2.6344e-08 3.40524e-07 3.40524e-07 3.4196e-07 3.72885e-06 3.72885e-06 3.515e-06 3.72885e-06 3.72885e-06 3.515e-06 0.0100755 0.0100755 0.0100446
